IncidntNum,Category,Date
21,ARSON,01/01/2005 12:00:00 AM
698,BURGLARY,01/01/2005 12:00:00 AM
2038,LARCENY/THEFT,01/01/2005 12:00:00 AM
56,STOLEN PROPERTY,01/01/2005 12:00:00 AM
493,VANDALISM,01/01/2005 12:00:00 AM
1685,VEHICLE THEFT,01/01/2005 12:00:00 AM
17,ARSON,02/01/2005 12:00:00 AM
547,BURGLARY,02/01/2005 12:00:00 AM
1734,LARCENY/THEFT,02/01/2005 12:00:00 AM
40,STOLEN PROPERTY,02/01/2005 12:00:00 AM
462,VANDALISM,02/01/2005 12:00:00 AM
1366,VEHICLE THEFT,02/01/2005 12:00:00 AM
19,ARSON,03/01/2005 12:00:00 AM
654,BURGLARY,03/01/2005 12:00:00 AM
2035,LARCENY/THEFT,03/01/2005 12:00:00 AM
46,STOLEN PROPERTY,03/01/2005 12:00:00 AM
585,VANDALISM,03/01/2005 12:00:00 AM
1476,VEHICLE THEFT,03/01/2005 12:00:00 AM
24,ARSON,04/01/2005 12:00:00 AM
551,BURGLARY,04/01/2005 12:00:00 AM
1920,LARCENY/THEFT,04/01/2005 12:00:00 AM
41,STOLEN PROPERTY,04/01/2005 12:00:00 AM
581,VANDALISM,04/01/2005 12:00:00 AM
1594,VEHICLE THEFT,04/01/2005 12:00:00 AM
13,ARSON,05/01/2005 12:00:00 AM
622,BURGLARY,05/01/2005 12:00:00 AM
2181,LARCENY/THEFT,05/01/2005 12:00:00 AM
56,STOLEN PROPERTY,05/01/2005 12:00:00 AM
658,VANDALISM,05/01/2005 12:00:00 AM
1590,VEHICLE THEFT,05/01/2005 12:00:00 AM
23,ARSON,06/01/2005 12:00:00 AM
586,BURGLARY,06/01/2005 12:00:00 AM
2253,LARCENY/THEFT,06/01/2005 12:00:00 AM
40,STOLEN PROPERTY,06/01/2005 12:00:00 AM
622,VANDALISM,06/01/2005 12:00:00 AM
1394,VEHICLE THEFT,06/01/2005 12:00:00 AM
23,ARSON,07/01/2005 12:00:00 AM
691,BURGLARY,07/01/2005 12:00:00 AM
2307,LARCENY/THEFT,07/01/2005 12:00:00 AM
50,STOLEN PROPERTY,07/01/2005 12:00:00 AM
643,VANDALISM,07/01/2005 12:00:00 AM
1429,VEHICLE THEFT,07/01/2005 12:00:00 AM
20,ARSON,08/01/2005 12:00:00 AM
595,BURGLARY,08/01/2005 12:00:00 AM
2406,LARCENY/THEFT,08/01/2005 12:00:00 AM
43,STOLEN PROPERTY,08/01/2005 12:00:00 AM
616,VANDALISM,08/01/2005 12:00:00 AM
1412,VEHICLE THEFT,08/01/2005 12:00:00 AM
17,ARSON,09/01/2005 12:00:00 AM
531,BURGLARY,09/01/2005 12:00:00 AM
2197,LARCENY/THEFT,09/01/2005 12:00:00 AM
36,STOLEN PROPERTY,09/01/2005 12:00:00 AM
559,VANDALISM,09/01/2005 12:00:00 AM
1430,VEHICLE THEFT,09/01/2005 12:00:00 AM
18,ARSON,10/01/2005 12:00:00 AM
526,BURGLARY,10/01/2005 12:00:00 AM
2169,LARCENY/THEFT,10/01/2005 12:00:00 AM
49,STOLEN PROPERTY,10/01/2005 12:00:00 AM
655,VANDALISM,10/01/2005 12:00:00 AM
1774,VEHICLE THEFT,10/01/2005 12:00:00 AM
19,ARSON,11/01/2005 12:00:00 AM
511,BURGLARY,11/01/2005 12:00:00 AM
1996,LARCENY/THEFT,11/01/2005 12:00:00 AM
32,STOLEN PROPERTY,11/01/2005 12:00:00 AM
581,VANDALISM,11/01/2005 12:00:00 AM
1723,VEHICLE THEFT,11/01/2005 12:00:00 AM
17,ARSON,12/01/2005 12:00:00 AM
559,BURGLARY,12/01/2005 12:00:00 AM
2083,LARCENY/THEFT,12/01/2005 12:00:00 AM
51,STOLEN PROPERTY,12/01/2005 12:00:00 AM
558,VANDALISM,12/01/2005 12:00:00 AM
1321,VEHICLE THEFT,12/01/2005 12:00:00 AM
24,ARSON,01/01/2006 12:00:00 AM
527,BURGLARY,01/01/2006 12:00:00 AM
2351,LARCENY/THEFT,01/01/2006 12:00:00 AM
55,STOLEN PROPERTY,01/01/2006 12:00:00 AM
601,VANDALISM,01/01/2006 12:00:00 AM
609,VEHICLE THEFT,01/01/2006 12:00:00 AM
13,ARSON,02/01/2006 12:00:00 AM
515,BURGLARY,02/01/2006 12:00:00 AM
2077,LARCENY/THEFT,02/01/2006 12:00:00 AM
46,STOLEN PROPERTY,02/01/2006 12:00:00 AM
602,VANDALISM,02/01/2006 12:00:00 AM
572,VEHICLE THEFT,02/01/2006 12:00:00 AM
16,ARSON,03/01/2006 12:00:00 AM
576,BURGLARY,03/01/2006 12:00:00 AM
2335,LARCENY/THEFT,03/01/2006 12:00:00 AM
64,STOLEN PROPERTY,03/01/2006 12:00:00 AM
621,VANDALISM,03/01/2006 12:00:00 AM
565,VEHICLE THEFT,03/01/2006 12:00:00 AM
19,ARSON,04/01/2006 12:00:00 AM
616,BURGLARY,04/01/2006 12:00:00 AM
2397,LARCENY/THEFT,04/01/2006 12:00:00 AM
67,STOLEN PROPERTY,04/01/2006 12:00:00 AM
741,VANDALISM,04/01/2006 12:00:00 AM
572,VEHICLE THEFT,04/01/2006 12:00:00 AM
27,ARSON,05/01/2006 12:00:00 AM
621,BURGLARY,05/01/2006 12:00:00 AM
2344,LARCENY/THEFT,05/01/2006 12:00:00 AM
53,STOLEN PROPERTY,05/01/2006 12:00:00 AM
678,VANDALISM,05/01/2006 12:00:00 AM
547,VEHICLE THEFT,05/01/2006 12:00:00 AM
14,ARSON,06/01/2006 12:00:00 AM
600,BURGLARY,06/01/2006 12:00:00 AM
2272,LARCENY/THEFT,06/01/2006 12:00:00 AM
49,STOLEN PROPERTY,06/01/2006 12:00:00 AM
602,VANDALISM,06/01/2006 12:00:00 AM
651,VEHICLE THEFT,06/01/2006 12:00:00 AM
24,ARSON,07/01/2006 12:00:00 AM
656,BURGLARY,07/01/2006 12:00:00 AM
2209,LARCENY/THEFT,07/01/2006 12:00:00 AM
37,STOLEN PROPERTY,07/01/2006 12:00:00 AM
660,VANDALISM,07/01/2006 12:00:00 AM
673,VEHICLE THEFT,07/01/2006 12:00:00 AM
24,ARSON,08/01/2006 12:00:00 AM
658,BURGLARY,08/01/2006 12:00:00 AM
2408,LARCENY/THEFT,08/01/2006 12:00:00 AM
47,STOLEN PROPERTY,08/01/2006 12:00:00 AM
687,VANDALISM,08/01/2006 12:00:00 AM
687,VEHICLE THEFT,08/01/2006 12:00:00 AM
27,ARSON,09/01/2006 12:00:00 AM
562,BURGLARY,09/01/2006 12:00:00 AM
2296,LARCENY/THEFT,09/01/2006 12:00:00 AM
44,STOLEN PROPERTY,09/01/2006 12:00:00 AM
672,VANDALISM,09/01/2006 12:00:00 AM
570,VEHICLE THEFT,09/01/2006 12:00:00 AM
27,ARSON,10/01/2006 12:00:00 AM
508,BURGLARY,10/01/2006 12:00:00 AM
2386,LARCENY/THEFT,10/01/2006 12:00:00 AM
48,STOLEN PROPERTY,10/01/2006 12:00:00 AM
664,VANDALISM,10/01/2006 12:00:00 AM
628,VEHICLE THEFT,10/01/2006 12:00:00 AM
11,ARSON,11/01/2006 12:00:00 AM
585,BURGLARY,11/01/2006 12:00:00 AM
2110,LARCENY/THEFT,11/01/2006 12:00:00 AM
33,STOLEN PROPERTY,11/01/2006 12:00:00 AM
560,VANDALISM,11/01/2006 12:00:00 AM
604,VEHICLE THEFT,11/01/2006 12:00:00 AM
14,ARSON,12/01/2006 12:00:00 AM
580,BURGLARY,12/01/2006 12:00:00 AM
2167,LARCENY/THEFT,12/01/2006 12:00:00 AM
32,STOLEN PROPERTY,12/01/2006 12:00:00 AM
600,VANDALISM,12/01/2006 12:00:00 AM
613,VEHICLE THEFT,12/01/2006 12:00:00 AM
23,ARSON,01/01/2007 12:00:00 AM
501,BURGLARY,01/01/2007 12:00:00 AM
1979,LARCENY/THEFT,01/01/2007 12:00:00 AM
46,STOLEN PROPERTY,01/01/2007 12:00:00 AM
648,VANDALISM,01/01/2007 12:00:00 AM
523,VEHICLE THEFT,01/01/2007 12:00:00 AM
12,ARSON,02/01/2007 12:00:00 AM
382,BURGLARY,02/01/2007 12:00:00 AM
1643,LARCENY/THEFT,02/01/2007 12:00:00 AM
33,STOLEN PROPERTY,02/01/2007 12:00:00 AM
531,VANDALISM,02/01/2007 12:00:00 AM
466,VEHICLE THEFT,02/01/2007 12:00:00 AM
17,ARSON,03/01/2007 12:00:00 AM
426,BURGLARY,03/01/2007 12:00:00 AM
2065,LARCENY/THEFT,03/01/2007 12:00:00 AM
46,STOLEN PROPERTY,03/01/2007 12:00:00 AM
682,VANDALISM,03/01/2007 12:00:00 AM
511,VEHICLE THEFT,03/01/2007 12:00:00 AM
20,ARSON,04/01/2007 12:00:00 AM
476,BURGLARY,04/01/2007 12:00:00 AM
2018,LARCENY/THEFT,04/01/2007 12:00:00 AM
48,STOLEN PROPERTY,04/01/2007 12:00:00 AM
612,VANDALISM,04/01/2007 12:00:00 AM
408,VEHICLE THEFT,04/01/2007 12:00:00 AM
29,ARSON,05/01/2007 12:00:00 AM
426,BURGLARY,05/01/2007 12:00:00 AM
2125,LARCENY/THEFT,05/01/2007 12:00:00 AM
44,STOLEN PROPERTY,05/01/2007 12:00:00 AM
643,VANDALISM,05/01/2007 12:00:00 AM
376,VEHICLE THEFT,05/01/2007 12:00:00 AM
21,ARSON,06/01/2007 12:00:00 AM
448,BURGLARY,06/01/2007 12:00:00 AM
2196,LARCENY/THEFT,06/01/2007 12:00:00 AM
54,STOLEN PROPERTY,06/01/2007 12:00:00 AM
644,VANDALISM,06/01/2007 12:00:00 AM
488,VEHICLE THEFT,06/01/2007 12:00:00 AM
29,ARSON,07/01/2007 12:00:00 AM
509,BURGLARY,07/01/2007 12:00:00 AM
2536,LARCENY/THEFT,07/01/2007 12:00:00 AM
37,STOLEN PROPERTY,07/01/2007 12:00:00 AM
738,VANDALISM,07/01/2007 12:00:00 AM
633,VEHICLE THEFT,07/01/2007 12:00:00 AM
16,ARSON,08/01/2007 12:00:00 AM
474,BURGLARY,08/01/2007 12:00:00 AM
2463,LARCENY/THEFT,08/01/2007 12:00:00 AM
32,STOLEN PROPERTY,08/01/2007 12:00:00 AM
604,VANDALISM,08/01/2007 12:00:00 AM
707,VEHICLE THEFT,08/01/2007 12:00:00 AM
27,ARSON,09/01/2007 12:00:00 AM
385,BURGLARY,09/01/2007 12:00:00 AM
2391,LARCENY/THEFT,09/01/2007 12:00:00 AM
54,STOLEN PROPERTY,09/01/2007 12:00:00 AM
639,VANDALISM,09/01/2007 12:00:00 AM
692,VEHICLE THEFT,09/01/2007 12:00:00 AM
18,ARSON,10/01/2007 12:00:00 AM
456,BURGLARY,10/01/2007 12:00:00 AM
2292,LARCENY/THEFT,10/01/2007 12:00:00 AM
54,STOLEN PROPERTY,10/01/2007 12:00:00 AM
690,VANDALISM,10/01/2007 12:00:00 AM
619,VEHICLE THEFT,10/01/2007 12:00:00 AM
23,ARSON,11/01/2007 12:00:00 AM
482,BURGLARY,11/01/2007 12:00:00 AM
2029,LARCENY/THEFT,11/01/2007 12:00:00 AM
41,STOLEN PROPERTY,11/01/2007 12:00:00 AM
596,VANDALISM,11/01/2007 12:00:00 AM
544,VEHICLE THEFT,11/01/2007 12:00:00 AM
11,ARSON,12/01/2007 12:00:00 AM
489,BURGLARY,12/01/2007 12:00:00 AM
2033,LARCENY/THEFT,12/01/2007 12:00:00 AM
38,STOLEN PROPERTY,12/01/2007 12:00:00 AM
539,VANDALISM,12/01/2007 12:00:00 AM
493,VEHICLE THEFT,12/01/2007 12:00:00 AM
16,ARSON,01/01/2008 12:00:00 AM
434,BURGLARY,01/01/2008 12:00:00 AM
2162,LARCENY/THEFT,01/01/2008 12:00:00 AM
32,STOLEN PROPERTY,01/01/2008 12:00:00 AM
642,VANDALISM,01/01/2008 12:00:00 AM
519,VEHICLE THEFT,01/01/2008 12:00:00 AM
12,ARSON,02/01/2008 12:00:00 AM
382,BURGLARY,02/01/2008 12:00:00 AM
1888,LARCENY/THEFT,02/01/2008 12:00:00 AM
35,STOLEN PROPERTY,02/01/2008 12:00:00 AM
546,VANDALISM,02/01/2008 12:00:00 AM
475,VEHICLE THEFT,02/01/2008 12:00:00 AM
34,ARSON,03/01/2008 12:00:00 AM
470,BURGLARY,03/01/2008 12:00:00 AM
2222,LARCENY/THEFT,03/01/2008 12:00:00 AM
38,STOLEN PROPERTY,03/01/2008 12:00:00 AM
653,VANDALISM,03/01/2008 12:00:00 AM
527,VEHICLE THEFT,03/01/2008 12:00:00 AM
20,ARSON,04/01/2008 12:00:00 AM
440,BURGLARY,04/01/2008 12:00:00 AM
2334,LARCENY/THEFT,04/01/2008 12:00:00 AM
31,STOLEN PROPERTY,04/01/2008 12:00:00 AM
664,VANDALISM,04/01/2008 12:00:00 AM
538,VEHICLE THEFT,04/01/2008 12:00:00 AM
18,ARSON,05/01/2008 12:00:00 AM
458,BURGLARY,05/01/2008 12:00:00 AM
2169,LARCENY/THEFT,05/01/2008 12:00:00 AM
41,STOLEN PROPERTY,05/01/2008 12:00:00 AM
635,VANDALISM,05/01/2008 12:00:00 AM
510,VEHICLE THEFT,05/01/2008 12:00:00 AM
20,ARSON,06/01/2008 12:00:00 AM
438,BURGLARY,06/01/2008 12:00:00 AM
1976,LARCENY/THEFT,06/01/2008 12:00:00 AM
39,STOLEN PROPERTY,06/01/2008 12:00:00 AM
567,VANDALISM,06/01/2008 12:00:00 AM
427,VEHICLE THEFT,06/01/2008 12:00:00 AM
21,ARSON,07/01/2008 12:00:00 AM
500,BURGLARY,07/01/2008 12:00:00 AM
2196,LARCENY/THEFT,07/01/2008 12:00:00 AM
40,STOLEN PROPERTY,07/01/2008 12:00:00 AM
601,VANDALISM,07/01/2008 12:00:00 AM
460,VEHICLE THEFT,07/01/2008 12:00:00 AM
24,ARSON,08/01/2008 12:00:00 AM
473,BURGLARY,08/01/2008 12:00:00 AM
2177,LARCENY/THEFT,08/01/2008 12:00:00 AM
52,STOLEN PROPERTY,08/01/2008 12:00:00 AM
582,VANDALISM,08/01/2008 12:00:00 AM
510,VEHICLE THEFT,08/01/2008 12:00:00 AM
28,ARSON,09/01/2008 12:00:00 AM
542,BURGLARY,09/01/2008 12:00:00 AM
2224,LARCENY/THEFT,09/01/2008 12:00:00 AM
58,STOLEN PROPERTY,09/01/2008 12:00:00 AM
579,VANDALISM,09/01/2008 12:00:00 AM
579,VEHICLE THEFT,09/01/2008 12:00:00 AM
18,ARSON,10/01/2008 12:00:00 AM
494,BURGLARY,10/01/2008 12:00:00 AM
2420,LARCENY/THEFT,10/01/2008 12:00:00 AM
63,STOLEN PROPERTY,10/01/2008 12:00:00 AM
711,VANDALISM,10/01/2008 12:00:00 AM
576,VEHICLE THEFT,10/01/2008 12:00:00 AM
20,ARSON,11/01/2008 12:00:00 AM
523,BURGLARY,11/01/2008 12:00:00 AM
2078,LARCENY/THEFT,11/01/2008 12:00:00 AM
46,STOLEN PROPERTY,11/01/2008 12:00:00 AM
602,VANDALISM,11/01/2008 12:00:00 AM
444,VEHICLE THEFT,11/01/2008 12:00:00 AM
17,ARSON,12/01/2008 12:00:00 AM
525,BURGLARY,12/01/2008 12:00:00 AM
1961,LARCENY/THEFT,12/01/2008 12:00:00 AM
43,STOLEN PROPERTY,12/01/2008 12:00:00 AM
560,VANDALISM,12/01/2008 12:00:00 AM
488,VEHICLE THEFT,12/01/2008 12:00:00 AM
20,ARSON,01/01/2009 12:00:00 AM
441,BURGLARY,01/01/2009 12:00:00 AM
1932,LARCENY/THEFT,01/01/2009 12:00:00 AM
46,STOLEN PROPERTY,01/01/2009 12:00:00 AM
556,VANDALISM,01/01/2009 12:00:00 AM
545,VEHICLE THEFT,01/01/2009 12:00:00 AM
17,ARSON,02/01/2009 12:00:00 AM
389,BURGLARY,02/01/2009 12:00:00 AM
1846,LARCENY/THEFT,02/01/2009 12:00:00 AM
50,STOLEN PROPERTY,02/01/2009 12:00:00 AM
481,VANDALISM,02/01/2009 12:00:00 AM
403,VEHICLE THEFT,02/01/2009 12:00:00 AM
16,ARSON,03/01/2009 12:00:00 AM
499,BURGLARY,03/01/2009 12:00:00 AM
2198,LARCENY/THEFT,03/01/2009 12:00:00 AM
63,STOLEN PROPERTY,03/01/2009 12:00:00 AM
623,VANDALISM,03/01/2009 12:00:00 AM
459,VEHICLE THEFT,03/01/2009 12:00:00 AM
18,ARSON,04/01/2009 12:00:00 AM
491,BURGLARY,04/01/2009 12:00:00 AM
2050,LARCENY/THEFT,04/01/2009 12:00:00 AM
53,STOLEN PROPERTY,04/01/2009 12:00:00 AM
660,VANDALISM,04/01/2009 12:00:00 AM
395,VEHICLE THEFT,04/01/2009 12:00:00 AM
17,ARSON,05/01/2009 12:00:00 AM
441,BURGLARY,05/01/2009 12:00:00 AM
1988,LARCENY/THEFT,05/01/2009 12:00:00 AM
48,STOLEN PROPERTY,05/01/2009 12:00:00 AM
554,VANDALISM,05/01/2009 12:00:00 AM
402,VEHICLE THEFT,05/01/2009 12:00:00 AM
15,ARSON,06/01/2009 12:00:00 AM
432,BURGLARY,06/01/2009 12:00:00 AM
1862,LARCENY/THEFT,06/01/2009 12:00:00 AM
52,STOLEN PROPERTY,06/01/2009 12:00:00 AM
537,VANDALISM,06/01/2009 12:00:00 AM
393,VEHICLE THEFT,06/01/2009 12:00:00 AM
30,ARSON,07/01/2009 12:00:00 AM
475,BURGLARY,07/01/2009 12:00:00 AM
2327,LARCENY/THEFT,07/01/2009 12:00:00 AM
56,STOLEN PROPERTY,07/01/2009 12:00:00 AM
675,VANDALISM,07/01/2009 12:00:00 AM
438,VEHICLE THEFT,07/01/2009 12:00:00 AM
19,ARSON,08/01/2009 12:00:00 AM
453,BURGLARY,08/01/2009 12:00:00 AM
2509,LARCENY/THEFT,08/01/2009 12:00:00 AM
55,STOLEN PROPERTY,08/01/2009 12:00:00 AM
714,VANDALISM,08/01/2009 12:00:00 AM
489,VEHICLE THEFT,08/01/2009 12:00:00 AM
18,ARSON,09/01/2009 12:00:00 AM
415,BURGLARY,09/01/2009 12:00:00 AM
2310,LARCENY/THEFT,09/01/2009 12:00:00 AM
61,STOLEN PROPERTY,09/01/2009 12:00:00 AM
688,VANDALISM,09/01/2009 12:00:00 AM
433,VEHICLE THEFT,09/01/2009 12:00:00 AM
14,ARSON,10/01/2009 12:00:00 AM
430,BURGLARY,10/01/2009 12:00:00 AM
2246,LARCENY/THEFT,10/01/2009 12:00:00 AM
59,STOLEN PROPERTY,10/01/2009 12:00:00 AM
750,VANDALISM,10/01/2009 12:00:00 AM
416,VEHICLE THEFT,10/01/2009 12:00:00 AM
25,ARSON,11/01/2009 12:00:00 AM
437,BURGLARY,11/01/2009 12:00:00 AM
2151,LARCENY/THEFT,11/01/2009 12:00:00 AM
57,STOLEN PROPERTY,11/01/2009 12:00:00 AM
684,VANDALISM,11/01/2009 12:00:00 AM
436,VEHICLE THEFT,11/01/2009 12:00:00 AM
13,ARSON,12/01/2009 12:00:00 AM
476,BURGLARY,12/01/2009 12:00:00 AM
2166,LARCENY/THEFT,12/01/2009 12:00:00 AM
60,STOLEN PROPERTY,12/01/2009 12:00:00 AM
682,VANDALISM,12/01/2009 12:00:00 AM
374,VEHICLE THEFT,12/01/2009 12:00:00 AM
19,ARSON,01/01/2010 12:00:00 AM
421,BURGLARY,01/01/2010 12:00:00 AM
2116,LARCENY/THEFT,01/01/2010 12:00:00 AM
64,STOLEN PROPERTY,01/01/2010 12:00:00 AM
702,VANDALISM,01/01/2010 12:00:00 AM
366,VEHICLE THEFT,01/01/2010 12:00:00 AM
9,ARSON,02/01/2010 12:00:00 AM
374,BURGLARY,02/01/2010 12:00:00 AM
1693,LARCENY/THEFT,02/01/2010 12:00:00 AM
51,STOLEN PROPERTY,02/01/2010 12:00:00 AM
588,VANDALISM,02/01/2010 12:00:00 AM
363,VEHICLE THEFT,02/01/2010 12:00:00 AM
19,ARSON,03/01/2010 12:00:00 AM
404,BURGLARY,03/01/2010 12:00:00 AM
1915,LARCENY/THEFT,03/01/2010 12:00:00 AM
56,STOLEN PROPERTY,03/01/2010 12:00:00 AM
609,VANDALISM,03/01/2010 12:00:00 AM
352,VEHICLE THEFT,03/01/2010 12:00:00 AM
16,ARSON,04/01/2010 12:00:00 AM
436,BURGLARY,04/01/2010 12:00:00 AM
1788,LARCENY/THEFT,04/01/2010 12:00:00 AM
58,STOLEN PROPERTY,04/01/2010 12:00:00 AM
687,VANDALISM,04/01/2010 12:00:00 AM
326,VEHICLE THEFT,04/01/2010 12:00:00 AM
21,ARSON,05/01/2010 12:00:00 AM
492,BURGLARY,05/01/2010 12:00:00 AM
