Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9996263631829
FDW14,OUT017,1579.6253027776593
NCN55,OUT010,1888.4466009137705
FDQ58,OUT017,2609.3137272366284
FDY38,OUT027,5179.228541181564
FDH56,OUT046,1915.7034715959353
FDL48,OUT018,596.7354505402236
FDC48,OUT027,2777.8289439134173
FDN33,OUT045,1510.3662875297211
FDA36,OUT017,3079.2232245629953
FDT44,OUT017,1997.2632212322842
FDQ56,OUT045,1306.6609009702463
NCC54,OUT019,1849.418380433282
FDU11,OUT049,2045.7043562679264
DRL59,OUT013,888.7774636643571
FDM24,OUT049,2558.8073894987174
FDI57,OUT045,3088.6609293877673
DRC12,OUT018,2764.927186983653
NCM42,OUT027,3192.4117716776605
FDA46,OUT010,1133.654260524877
FDA31,OUT013,2798.8125418091427
NCJ31,OUT035,3878.410998597325
FDG52,OUT046,803.8870760581825
NCL19,OUT019,376.0172497194503
FDS10,OUT035,3027.566267733812
FDX22,OUT010,1448.8065604230883
NCF19,OUT035,915.0755485850134
NCE06,OUT046,2527.742930338446
DRC27,OUT046,3843.227970173738
FDE21,OUT035,2025.286259991511
NCR42,OUT019,-1357.7069058385619
FDX51,OUT018,2863.215144836399
NCR06,OUT018,429.3509394581704
FDU31,OUT027,4940.216761876464
FDU59,OUT017,2712.280175799802
FDR03,OUT027,4767.686665185393
FDS49,OUT027,2760.725986472519
FDD48,OUT010,-73.36090656101351
NCF18,OUT017,3110.8336405874825
NCD43,OUT027,3099.634036517427
NCD54,OUT018,1989.856349520966
FDY19,OUT010,-36.06339587893103
NCY54,OUT017,2810.9080571543495
NCL19,OUT018,2023.209367786288
FDP23,OUT010,1533.6166043585154
FDC26,OUT013,1817.9674511371975
FDR14,OUT010,-1040.0940098916385
NCS41,OUT035,3035.7207024356476
FDF41,OUT035,4041.7847475786066
FDU34,OUT046,2002.574789550777
DRH11,OUT046,919.7377052008692
FDM03,OUT013,1764.0522299698127
FDS31,OUT017,3048.9414520991136
FDJ20,OUT017,2092.0319993555813
FDV44,OUT027,4494.507284749442
FDG02,OUT049,3102.7476488118277
FDA09,OUT013,2910.723655975797
FDT04,OUT013,690.7840585876072
FDL58,OUT019,2294.2661794057112
FDE52,OUT045,1455.7573488698542
FDW12,OUT035,2503.7110938889823
FDL51,OUT017,3549.124949897017
NCY42,OUT027,3687.339329815459
FDR07,OUT017,1658.686065953084
FDN40,OUT045,2374.4085352650227
FDB35,OUT027,2949.765633516444
FDA22,OUT017,2742.2405489305843
NCL06,OUT046,4110.960229322832
FDI35,OUT013,2917.449486934727
NCW42,OUT045,3411.811376974646
NCX06,OUT049,2934.657796567346
FDC37,OUT027,3192.9728829592814
FDZ14,OUT018,1727.6782435077218
DRG49,OUT049,3947.4228777248563
NCG06,OUT045,3959.977523651077
DRC36,OUT045,2721.4826507172706
FDV21,OUT019,61.84345548915792
FDB53,OUT046,2359.187118921326
DRP47,OUT019,2042.0399937840225
FDA14,OUT013,2352.9542704013124
DRC24,OUT035,2568.0142576781036
FDW21,OUT018,1414.2307356969982
NCH29,OUT046,1556.3664567155174
FDU58,OUT013,3079.4614083115616
FDY27,OUT017,2946.1383289119244
FDV56,OUT035,1948.669616173719
FDT59,OUT046,3656.498698028963
FDB23,OUT046,3621.7863019709766
FDR49,OUT045,698.2293255207406
FDB03,OUT010,1908.564027322927
FDN39,OUT045,2617.748963672794
FDX02,OUT027,4985.386547931818
FDQ16,OUT027,3188.620677298822
FDU35,OUT018,1341.9136361211492
NCT29,OUT013,1957.4402211813403
FDZ27,OUT046,830.1602370792842
FDN57,OUT017,2345.9125066000793
FDA03,OUT018,2099.173461419761
FDZ36,OUT045,2920.1391702358937
NCU05,OUT013,1322.2269737111053
FDT39,OUT018,2179.9642027282207
FDK60,OUT017,1722.706799739266
FDZ25,OUT017,2857.677216028897
FDG12,OUT046,2037.036541775843
DRB01,OUT019,1127.0823415153086
NCC43,OUT027,5377.826340261957
FDX13,OUT019,2035.6506729073508
FDM22,OUT049,1028.197481998654
FDJ03,OUT027,2306.359263039367
FDU14,OUT018,3678.0507022082597
FDB33,OUT010,624.7853673560543
FDP27,OUT046,3005.2855126936756
FDO38,OUT010,-669.6718016595432
FDE28,OUT027,5152.788044275659
FDO27,OUT035,1701.4368266255312
DRL23,OUT027,3166.7417310178284
FDS28,OUT046,963.0151564768125
FDX24,OUT013,1547.7067224619095
FDZ02,OUT035,1746.6568125826914
FDL46,OUT045,1812.4663270003377
