Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.7665623358519
FDW14,OUT017,1360.8901385484216
NCN55,OUT010,572.237611318866
FDQ58,OUT017,2475.850417383159
FDY38,OUT027,5844.3110702970835
FDH56,OUT046,1938.3343831848636
FDL48,OUT018,767.8057950871382
FDC48,OUT027,2176.471688285429
FDN33,OUT045,1522.0215967055126
FDA36,OUT017,3098.169231504663
FDT44,OUT017,1927.2848080361841
FDQ56,OUT045,1359.0735615355484
NCC54,OUT019,571.8993608320683
FDU11,OUT049,2016.4650908571705
DRL59,OUT013,867.4198073153945
FDM24,OUT049,2468.9035855054794
FDI57,OUT045,3042.0396205043785
DRC12,OUT018,2950.804027445697
NCM42,OUT027,2924.50149216736
FDA46,OUT010,509.71681688966964
FDA31,OUT013,2857.786299499377
NCJ31,OUT035,3858.8971614849447
FDG52,OUT046,781.7846893000542
NCL19,OUT019,285.327615631486
FDS10,OUT035,2987.5067120131616
FDX22,OUT010,564.4095527124504
NCF19,OUT035,762.229183073897
NCE06,OUT046,2551.118844726454
DRC27,OUT046,3885.3652591477176
FDE21,OUT035,1963.5248016730238
NCR42,OUT019,132.3292413475577
FDX51,OUT018,2992.858963264637
NCR06,OUT018,615.8719041339732
FDU31,OUT027,5846.474853414659
FDU59,OUT017,2539.925098213927
FDR03,OUT027,5845.966905497861
FDS49,OUT027,2066.83900019107
FDD48,OUT010,267.8823830065269
NCF18,OUT017,3022.0362971550535
NCD43,OUT027,2844.9017669747354
NCD54,OUT018,2100.24945924034
FDY19,OUT010,268.00489315672536
NCY54,OUT017,2869.173099424259
NCL19,OUT018,2440.6176937614837
FDP23,OUT010,567.3874451272072
FDC26,OUT013,1749.8813882795635
FDR14,OUT010,132.3292413475577
NCS41,OUT035,3105.0804410356955
FDF41,OUT035,3872.0226515667623
FDU34,OUT046,2041.0718162687851
DRH11,OUT046,970.4517315855669
FDM03,OUT013,1651.1499567004514
FDS31,OUT017,3059.9838662629177
FDJ20,OUT017,1995.3871224074385
FDV44,OUT027,5149.395633406584
FDG02,OUT049,3117.81271062206
FDA09,OUT013,3014.898131537755
FDT04,OUT013,710.5427364777355
FDL58,OUT019,569.7357335506017
FDE52,OUT045,1377.168400023572
FDW12,OUT035,2488.659783191821
FDL51,OUT017,3705.623584175718
NCY42,OUT027,2998.810333855076
FDR07,OUT017,1547.2081865632672
FDN40,OUT045,2475.0767381103574
FDB35,OUT027,2689.6122468012827
FDA22,OUT017,2536.0727400146557
NCL06,OUT046,4124.719497309524
FDI35,OUT013,3059.7550782091857
NCW42,OUT045,3758.1622069326363
NCX06,OUT049,3012.53896420746
FDC37,OUT027,2880.7053418715427
FDZ14,OUT018,1958.3647908151072
DRG49,OUT049,3872.1952122140196
NCG06,OUT045,4088.4972873872257
