Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.299786
FDW14,OUT017,1435.912134375001
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2649.1102324324324
FDY38,OUT027,6280.890880000003
FDH56,OUT046,1922.1493817142853
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.882088484847
FDN33,OUT045,1879.257011612901
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.1493817142853
FDQ56,OUT045,1435.912134375001
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2142.7435709401707
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2286.413267368423
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.839825899279
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.6995426229506
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.29577518248
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.108064242425
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.217603539823
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.5197259842535
FDE21,OUT035,1922.1493817142853
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.839825899279
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.882088484847
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.882088484847
NCD54,OUT018,1752.2524400000007
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.8470218487387
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1649.299786
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.108064242425
FDF41,OUT035,3737.29577518248
FDU34,OUT046,1987.2510486486476
DRH11,OUT046,935.0323883040935
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.108064242425
FDJ20,OUT017,2142.7435709401707
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.970934653465
FDA09,OUT013,3259.5620849056613
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1435.912134375001
FDW12,OUT035,2286.413267368423
FDL51,OUT017,3643.5197259842535
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1573.0706258064515
FDN40,OUT045,2286.413267368423
FDB35,OUT027,2517.882088484847
FDA22,OUT017,2286.413267368423
NCL06,OUT046,4034.300306896548
FDI35,OUT013,3384.108064242425
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.5893175257734
FDC37,OUT027,2517.882088484847
FDZ14,OUT018,1752.2524400000007
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.300306896548
DRC36,OUT045,3259.5620849056613
FDV21,OUT019,281.4820818181818
FDB53,OUT046,3053.099877777779
DRP47,OUT019,584.7577647727271
FDA14,OUT013,3053.099877777779
DRC24,OUT035,2644.4778427083334
FDW21,OUT018,1372.688490740742
NCH29,OUT046,1682.2122382352939
FDU58,OUT013,2893.839825899279
FDY27,OUT017,2552.0052351851855
FDV56,OUT035,1682.2122382352939
FDT59,OUT046,3945.432567213115
FDB23,OUT046,3945.432567213115
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727271
FDN39,OUT045,2453.747700699301
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.882088484847
FDU35,OUT018,1372.688490740742
NCT29,OUT013,1987.2510486486476
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.8470218487387
FDZ36,OUT045,3384.108064242425
NCU05,OUT013,1284.7897668711648
FDT39,OUT018,2232.8470218487387
FDK60,OUT017,1461.8437959999997
FDZ25,OUT017,3053.099877777779
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.6995426229506
NCC43,OUT027,6280.890880000003
FDX13,OUT019,584.7577647727271
FDM22,OUT049,796.6402682539682
FDJ03,OUT027,1378.2631852760742
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.8972837209304
FDP27,OUT046,3391.5912527272717
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890880000003
FDO27,OUT035,1879.257011612901
DRL23,OUT027,2517.882088484847
FDS28,OUT046,935.0323883040935
FDX24,OUT013,1435.912134375001
FDZ02,OUT035,1682.2122382352939
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.314724444443
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1435.912134375001
FDC60,OUT049,1458.4550080536912
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5329.314724444443
FDK27,OUT045,1827.8328454545451
FDW23,OUT018,507.04640366972484
FDM14,OUT018,1372.688490740742
FDM14,OUT013,1649.299786
FDW60,OUT018,3259.5620849056613
FDE21,OUT013,1922.1493817142853
NCM42,OUT035,1682.2122382352939
FDY59,OUT010,219.21852093023264
DRI49,OUT049,1202.6567333333328
FDT28,OUT019,346.8972837209304
FDQ22,OUT018,507.04640366972484
FDR60,OUT049,1202.6567333333328
FDC50,OUT019,219.21852093023264
FDV24,OUT013,2503.5013364485985
DRF48,OUT010,482.6995426229506
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1573.0706258064515
NCY06,OUT035,1987.2510486486476
FDE52,OUT035,1435.912134375001
NCB54,OUT045,1827.8328454545451
NCF31,OUT035,2286.413267368423
FDJ08,OUT027,5329.314724444443
NCC07,OUT017,1682.2122382352939
NCD19,OUT027,1378.2631852760742
FDL46,OUT049,1987.2510486486476
FDM20,OUT045,4340.218358415841
NCI06,OUT010,425.93559145299156
DRM11,OUT035,4433.30403265306
NCH07,OUT018,2232.8470218487387
FDS23,OUT013,2142.7435709401707
FDO49,OUT018,713.8586545454549
FDS35,OUT049,1103.1862133333334
DRK39,OUT045,1435.912134375001
DRI39,OUT049,796.6402682539682
FDV04,OUT017,2503.5013364485985
NCN14,OUT035,3384.108064242425
FDH08,OUT013,3643.5197259842535
FDS20,OUT046,3384.108064242425
FDV40,OUT049,1103.1862133333334
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.882088484847
FDK44,OUT049,2552.0052351851855
FDS48,OUT045,3053.099877777779
FDK26,OUT010,482.6995426229506
FDD23,OUT045,3391.5912527272717
NCH54,OUT017,2644.4778427083334
NCP14,OUT010,219.21852093023264
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2503.5013364485985
FDH08,OUT018,3327.9525829268287
FDS12,OUT027,3242.062071532848
FDR39,OUT027,5329.314724444443
FDP12,OUT027,1378.2631852760742
DRF60,OUT027,6280.890880000003
FDC09,OUT035,1682.2122382352939
FDF50,OUT018,2893.839825899279
FDG28,OUT035,4340.218358415841
NCE19,OUT017,935.0323883040935
NCM53,OUT010,281.4820818181818
NCN18,OUT049,1879.257011612901
FDF32,OUT035,3130.004904950494
FDF11,OUT013,3945.432567213115
DRI59,OUT049,4340.218358415841
NCG54,OUT035,2644.4778427083334
FDM44,OUT046,1573.0706258064515
FDT57,OUT018,3327.9525829268287
FDV24,OUT046,2503.5013364485985
FDI50,OUT019,584.7577647727271
FDS09,OUT035,713.8586545454549
NCC31,OUT027,4117.317712631577
FDQ07,OUT019,584.7577647727271
FDC22,OUT017,3391.5912527272717
FDZ56,OUT046,2644.4778427083334
FDZ40,OUT019,165.91858165137612
FDS46,OUT027,3242.062071532848
DRD24,OUT045,1827.8328454545451
FDV45,OUT017,2939.348476190476
FDL26,OUT045,3053.099877777779
FDA56,OUT018,1752.2524400000007
FDN27,OUT046,1922.1493817142853
FDM20,OUT049,4340.218358415841
FDO16,OUT017,1435.912134375001
FDL03,OUT035,3130.004904950494
FDE58,OUT046,1922.1493817142853
FDI02,OUT027,3242.062071532848
NCC55,OUT019,92.67548155339806
FDR03,OUT018,3327.9525829268287
FDB14,OUT017,1284.7897668711648
FDR45,OUT013,3945.432567213115
NCN07,OUT017,2243.6695967213113
FDM51,OUT019,219.21852093023264
FDT52,OUT027,6280.890880000003
FDL26,OUT046,3053.099877777779
NCZ42,OUT046,3945.432567213115
DRI47,OUT019,346.8972837209304
FDW40,OUT013,2309.2007980000003
FDN34,OUT046,3053.099877777779
FDS01,OUT035,2778.5893175257734
NCG55,OUT045,1827.8328454545451
FDC11,OUT035,1284.7897668711648
FDX35,OUT018,3327.9525829268287
NCB06,OUT046,2644.4778427083334
FDR09,OUT019,584.7577647727271
FDC53,OUT017,1573.0706258064515
FDY45,OUT013,4433.30403265306
FDA22,OUT010,425.93559145299156
FDE02,OUT035,1573.0706258064515
FDW21,OUT045,1461.8437959999997
FDV34,OUT046,1103.1862133333334
FDS59,OUT049,1879.257011612901
NCW17,OUT017,2243.6695967213113
NCK54,OUT046,1922.1493817142853
FDG17,OUT019,584.7577647727271
FDG35,OUT017,3259.5620849056613
FDD08,OUT010,92.67548155339806
NCO07,OUT017,3643.5197259842535
FDJ10,OUT010,281.4820818181818
FDW36,OUT017,1573.0706258064515
FDW21,OUT010,219.21852093023264
FDY19,OUT017,1922.1493817142853
DRE03,OUT013,798.217603539823
NCC55,OUT049,677.1027476190472
FDH52,OUT010,165.91858165137612
FDO09,OUT017,4034.300306896548
FDU43,OUT045,4340.218358415841
FDX09,OUT010,425.93559145299156
FDH40,OUT019,219.21852093023264
FDW58,OUT017,1573.0706258064515
FDC47,OUT017,3737.29577518248
NCR41,OUT035,1461.8437959999997
DRG49,OUT035,3737.29577518248
FDC52,OUT027,4117.317712631577
FDY13,OUT046,1103.1862133333334
FDY35,OUT013,507.04640366972484
FDI35,OUT017,3384.108064242425
NCU18,OUT049,2309.2007980000003
FDY33,OUT018,2232.8470218487387
FDC15,OUT027,4117.317712631577
